Model,Liczba uruchomień,accuracy (śr.),accuracy (odch.),accuracy,f1_macro (śr.),f1_macro (odch.),f1_macro,f1_weighted (śr.),f1_weighted (odch.),f1_weighted,inferencja_ms (śr.),inferencja_ms (odch.),inferencja_ms
"Transformer wizyjny (ViT-B/16, ImageNet)",1,0.6962,0.0,0.6962 ± 0.0000,0.6929,0.0,0.6929 ± 0.0000,0.6959,0.0,0.6959 ± 0.0000,21.201,0.0,21.2010 ± 0.0000
Uczenie transferowe (resnet50),4,0.6782,0.0063,0.6782 ± 0.0063,0.6691,0.0097,0.6691 ± 0.0097,0.6777,0.0054,0.6777 ± 0.0054,5.684,0.6683,5.6840 ± 0.6683
Uczenie transferowe (resnet18),4,0.6724,0.0072,0.6724 ± 0.0072,0.661,0.0079,0.6610 ± 0.0079,0.6721,0.0067,0.6721 ± 0.0067,2.2592,0.3428,2.2592 ± 0.3428
Uczenie transferowe (efficientnet_b0),1,0.6064,0.0,0.6064 ± 0.0000,0.5773,0.0,0.5773 ± 0.0000,0.6034,0.0,0.6034 ± 0.0000,8.169,0.0,8.1690 ± 0.0000
Cechy geometryczne+RF,1,0.5924,0.0,0.5924 ± 0.0000,0.559,0.0,0.5590 ± 0.0000,0.5881,0.0,0.5881 ± 0.0000,0.02,0.0,0.0200 ± 0.0000
Cechy geometryczne+XGB,1,0.5852,0.0,0.5852 ± 0.0000,0.5369,0.0,0.5369 ± 0.0000,0.5792,0.0,0.5792 ± 0.0000,0.013,0.0,0.0130 ± 0.0000
CNN-od-zera (mini-Xception),4,0.5679,0.0081,0.5679 ± 0.0081,0.5161,0.0085,0.5161 ± 0.0085,0.5659,0.0084,0.5659 ± 0.0084,1.4315,0.0578,1.4315 ± 0.0578
Cechy geometryczne+SVM,4,0.5653,0.0,0.5653 ± 0.0000,0.5082,0.0,0.5082 ± 0.0000,0.5632,0.0,0.5632 ± 0.0000,1.4885,0.05,1.4885 ± 0.0500
Uczenie transferowe (mobilenet_v2),4,0.5109,0.0043,0.5109 ± 0.0043,0.4626,0.0054,0.4626 ± 0.0054,0.508,0.0059,0.5080 ± 0.0059,4.694,0.5005,4.6940 ± 0.5005
Transformer wizyjny (ViT-Lite),4,0.3749,0.0043,0.3749 ± 0.0043,0.3098,0.0018,0.3098 ± 0.0018,0.367,0.0016,0.3670 ± 0.0016,2.1155,0.2643,2.1155 ± 0.2643
